group;id;chrom;nSNP;from;to;lengthBps
CIL;Chill_3;1;7;53534426;53549190;14764
CIL;Chill_3;1;6;53580829;53592437;11608
CIL;Chill_3;1;29;53616893;53657895;41002
CIL;Chill_3;1;18;53924405;53972220;47815
CIL;Chill_3;1;6;54027233;54033165;5932
CIL;Chill_3;1;14;54098315;54122917;24602
CIL;Chill_3;1;12;54172689;54239058;66369
CIL;Chill_3;1;38;54366392;54470324;103932
CIL;Chill_3;1;17;54489893;54549259;59366
CIL;Chill_3;1;5;54594028;54613691;19663
CIL;Chill_3;1;11;54708692;54743572;34880
CIL;Chill_3;1;32;54759143;54844550;85407
CIL;Chill_3;1;5;54878990;54898554;19564
CIL;Chill_3;1;8;54946875;54975709;28834
CIL;Chill_3;1;9;55107953;55128319;20366
CIL;Chill_3;1;9;55139036;55180234;41198
CIL;Chill_3;1;28;55190306;55297352;107046
CIL;Chill_3;1;7;55386945;55418457;31512
CIL;Chill_3;1;6;55907362;55925975;18613
CIL;Chill_3;1;5;56102123;56124273;22150
CIL;Chill_3;1;8;56805975;56828357;22382
CIL;Chill_3;1;5;57285243;57300070;14827
CIL;Chill_3;1;16;57327490;57370420;42930
CIL;Chill_3;1;8;59213537;59230581;17044
CIL;Chill_3;1;8;59253137;59296945;43808
CIL;Chill_3;1;8;59332879;59358579;25700
CIL;Chill_3;1;7;59437319;59467372;30053
CIL;Chill_3;1;6;59474505;59494496;19991
CIL;Chill_3;1;10;59583776;59602694;18918
CIL;Chill_3;1;6;60008528;60039254;30726
CIL;Chill_3;1;7;60211676;60245817;34141
CIL;Chill_3;1;9;60301377;60339677;38300
CIL;Chill_3;1;5;60469770;60481470;11700
CIL;Chill_3;1;5;60504874;60515762;10888
CIL;Chill_3;1;6;60883114;60893576;10462
CIL;Chill_6;1;5;56102123;56124273;22150
CIL;Chill_6;1;5;57285243;57300070;14827
CIL;Chill_6;1;16;57327490;57370420;42930
CIL;Chill_6;1;8;59213537;59230581;17044
CIL;Chill_6;1;8;59253137;59296945;43808
CIL;Chill_6;1;8;59332879;59358579;25700
CIL;Chill_6;1;7;59437319;59467372;30053
CIL;Chill_6;1;6;59474505;59494496;19991
CIL;Chill_6;1;10;59583776;59602694;18918
CIL;Chill_6;1;6;60008528;60039254;30726
CIL;Chill_6;1;7;60211676;60245817;34141
CIL;Chill_6;1;9;60301377;60339677;38300
CIL;Chill_6;1;5;60469770;60481470;11700
CIL;Chill_6;1;5;60504874;60515762;10888
CIL;Chill_6;1;6;60883114;60893576;10462
CIL;Chill_7;1;5;56102123;56124273;22150
CIL;Chill_7;1;8;56805975;56828357;22382
CIL;Chill_7;1;5;57285243;57300070;14827
CIL;Chill_7;1;16;57327490;57370420;42930
CIL;Chill_7;1;8;59213537;59230581;17044
CIL;Chill_7;1;8;59253137;59296945;43808
CIL;Chill_7;1;8;59332879;59358579;25700
CIL;Chill_7;1;7;59437319;59467372;30053
CIL;Chill_7;1;6;59474505;59494496;19991
CIL;Chill_7;1;10;59583776;59602694;18918
CIL;Chill_7;1;6;60008528;60039254;30726
CIL;Chill_7;1;7;60211676;60245817;34141
CIL;Chill_7;1;9;60301377;60339677;38300
CIL;Chill_7;1;5;60469770;60481470;11700
CIL;Chill_7;1;5;60504874;60515762;10888
CIL;Chill_7;1;6;60883114;60893576;10462
CIL;Chill_12;1;7;53534426;53549190;14764
CIL;Chill_12;1;6;53580829;53592437;11608
CIL;Chill_12;1;29;53616893;53657895;41002
CIL;Chill_12;1;18;53924405;53972220;47815
CIL;Chill_12;1;6;54027233;54033165;5932
CIL;Chill_12;1;14;54098315;54122917;24602
CIL;Chill_12;1;12;54172689;54239058;66369
CIL;Chill_12;1;38;54366392;54470324;103932
CIL;Chill_12;1;17;54489893;54549259;59366
CIL;Chill_12;1;5;54594028;54613691;19663
CIL;Chill_12;1;11;54708692;54743572;34880
CIL;Chill_12;1;32;54759143;54844550;85407
CIL;Chill_12;1;5;54878990;54898554;19564
CIL;Chill_12;1;8;54946875;54975709;28834
CIL;Chill_12;1;9;55107953;55128319;20366
CIL;Chill_12;1;9;55139036;55180234;41198
CIL;Chill_12;1;28;55190306;55297352;107046
CIL;Chill_12;1;7;55386945;55418457;31512
CIL;Chill_12;1;6;55907362;55925975;18613
CIL;Chill_12;1;5;56102123;56124273;22150
CIL;Chill_12;1;8;56805975;56828357;22382
CIL;Chill_12;1;5;57285243;57300070;14827
CIL;Chill_12;1;16;57327490;57370420;42930
CIL;Chill_12;1;8;59213537;59230581;17044
CIL;Chill_12;1;8;59253137;59296945;43808
CIL;Chill_12;1;8;59332879;59358579;25700
CIL;Chill_12;1;7;59437319;59467372;30053
CIL;Chill_12;1;6;59474505;59494496;19991
CIL;Chill_12;1;10;59583776;59602694;18918
CIL;Chill_12;1;6;60008528;60039254;30726
CIL;Chill_12;1;7;60211676;60245817;34141
CIL;Chill_12;1;9;60301377;60339677;38300
CIL;Chill_12;1;5;60469770;60481470;11700
CIL;Chill_12;1;5;60504874;60515762;10888
CIL;Chill_12;1;6;60883114;60893576;10462
CIL;Chill_12;1;9;60930420;60952938;22518
CIL;Chill_12;1;9;60959771;60992102;32331
CIL;Chill_12;1;14;61072607;61093543;20936
CIL;Chill_12;1;15;61141793;61175105;33312
CIL;Chill_12;1;12;61327491;61363743;36252
CIL;Chill_12;1;9;61485846;61508119;22273
CIL;Chill_12;1;11;61524582;61548547;23965
CIL;Chill_12;1;5;61623482;61639454;15972
CIL;Chill_12;1;28;61810717;61910089;99372
CIL;Chill_12;1;9;61952458;61973538;21080
CIL;Chill_12;1;12;61984385;62020035;35650
CIL;Chill_12;1;5;62109745;62116715;6970
CIL;Chill_12;1;7;62141283;62159233;17950
CIL;Chill_12;1;7;62194954;62239119;44165
CIL;Chill_12;1;7;62501251;62525808;24557
CIL;Chill_12;1;9;62532913;62588889;55976
CIL;Chill_12;1;5;62713583;62727770;14187
CIL;Chill_12;1;6;62806201;62816801;10600
CIL;Chill_12;1;12;62832469;62855143;22674
CIL;Chill_12;1;6;62902734;62918442;15708
CIL;Chill_12;1;8;62930197;62950712;20515
CIL;Chill_12;1;6;62968592;62989610;21018
CIL;Chill_12;1;9;63003623;63031636;28013
CIL;Chill_12;1;9;63048403;63075713;27310
CIL;Chill_12;1;10;63091568;63106054;14486
CIL;Chill_12;1;18;63262892;63310284;47392
CIL;Chill_12;1;12;63316120;63334807;18687
CIL;Chill_12;1;5;63460184;63466392;6208
CIL;Chill_14;1;7;53534426;53549190;14764
CIL;Chill_14;1;6;53580829;53592437;11608
CIL;Chill_14;1;29;53616893;53657895;41002
CIL;Chill_14;1;18;53924405;53972220;47815
CIL;Chill_14;1;6;54027233;54033165;5932
CIL;Chill_14;1;14;54098315;54122917;24602
CIL;Chill_14;1;12;54172689;54239058;66369
CIL;Chill_14;1;38;54366392;54470324;103932
CIL;Chill_14;1;17;54489893;54549259;59366
CIL;Chill_14;1;5;54594028;54613691;19663
CIL;Chill_14;1;11;54708692;54743572;34880
CIL;Chill_14;1;32;54759143;54844550;85407
CIL;Chill_14;1;5;54878990;54898554;19564
CIL;Chill_14;1;8;54946875;54975709;28834
CIL;Chill_14;1;9;55107953;55128319;20366
CIL;Chill_14;1;9;55139036;55180234;41198
CIL;Chill_14;1;28;55190306;55297352;107046
CIL;Chill_14;1;7;55386945;55418457;31512
CIL;Chill_14;1;6;55907362;55925975;18613
CIL;Chill_14;1;5;56102123;56124273;22150
CIL;Chill_14;1;8;56805975;56828357;22382
CIL;Chill_14;1;5;57285243;57300070;14827
CIL;Chill_14;1;16;57327490;57370420;42930
CIL;Chill_14;1;8;59213537;59230581;17044
CIL;Chill_14;1;8;59253137;59296945;43808
CIL;Chill_14;1;8;59332879;59358579;25700
CIL;Chill_14;1;7;59437319;59467372;30053
CIL;Chill_14;1;6;59474505;59494496;19991
CIL;Chill_14;1;10;59583776;59602694;18918
CIL;Chill_14;1;6;60008528;60039254;30726
CIL;Chill_14;1;7;60211676;60245817;34141
CIL;Chill_14;1;9;60301377;60339677;38300
CIL;Chill_14;1;5;60469770;60481470;11700
CIL;Chill_14;1;5;60504874;60515762;10888
CIL;Chill_14;1;6;60883114;60893576;10462
CIL;Chill_14;1;9;60930420;60952938;22518
CIL;Chill_14;1;9;60959771;60992102;32331
CIL;Chill_14;1;14;61072607;61093543;20936
CIL;Chill_14;1;15;61141793;61175105;33312
CIL;Chill_14;1;12;61327491;61363743;36252
CIL;Chill_14;1;9;61485846;61508119;22273
CIL;Chill_14;1;11;61524582;61548547;23965
CIL;Chill_14;1;5;61623482;61639454;15972
CIL;Chill_14;1;28;61810717;61910089;99372
CIL;Chill_14;1;9;61952458;61973538;21080
CIL;Chill_14;1;12;61984385;62020035;35650
CIL;Chill_14;1;5;62109745;62116715;6970
CIL;Chill_14;1;7;62141283;62159233;17950
CIL;Chill_14;1;7;62194954;62239119;44165
CIL;Chill_14;1;7;62501251;62525808;24557
CIL;Chill_14;1;9;62532913;62588889;55976
CIL;Chill_14;1;5;62713583;62727770;14187
CIL;Chill_14;1;6;62806201;62816801;10600
CIL;Chill_14;1;12;62832469;62855143;22674
CIL;Chill_14;1;6;62902734;62918442;15708
CIL;Chill_14;1;8;62930197;62950712;20515
CIL;Chill_14;1;6;62968592;62989610;21018
CIL;Chill_14;1;9;63003623;63031636;28013
CIL;Chill_14;1;9;63048403;63075713;27310
CIL;Chill_14;1;10;63091568;63106054;14486
