group;id;chrom;nSNP;from;to;lengthBps
Jacobs;H70;2;24;7011767;8561759;1549992
Jacobs;H70;2;20;15581003;16743751;1162748
Jacobs;H70;2;48;67387676;69922573;2534897
Jacobs;H70;2;30;82692589;84640849;1948260
Jacobs;H70;2;18;93383608;94299450;915842
Jacobs;H70;2;53;103331488;106830369;3498881
Jacobs;H70;2;20;122060498;123528595;1468097
Jacobs;H70;2;24;136745970;138081646;1335676
Jacobs;H70;2;33;142863809;144672338;1808529
Jacobs;H70;2;15;156678409;157367793;689384
Jacobs;H70;2;46;167432552;169929278;2496726
Jacobs;H70;2;19;184760567;186136333;1375766
Jacobs;H70;2;47;186925871;189708780;2782909
Jacobs;H70;2;196;196397256;206974495;10577239
Jacobs;H70;2;249;207747048;223812677;16065629
Jacobs;H70;10;22;29842383;30849548;1007165
Jacobs;H70;10;201;32773769;45845544;13071775
Jacobs;H70;10;38;48397749;50290499;1892750
Jacobs;H70;10;33;52284660;54216568;1931908
Jacobs;H70;10;29;81117863;82508957;1391094
Jacobs;H70;24;30;16351007;18669354;2318347
Jacobs;H70;24;96;29375887;35991517;6615630
Jacobs;H71;2;41;14914968;17033754;2118786
Jacobs;H71;2;29;26100485;27784609;1684124
Jacobs;H71;2;243;42535118;56446750;13911632
Jacobs;H71;2;72;67387676;71671999;4284323
Jacobs;H71;2;33;72057797;73926990;1869193
Jacobs;H71;2;18;75042274;76075819;1033545
Jacobs;H71;2;30;79298450;80904183;1605733
Jacobs;H71;2;24;89818428;91333600;1515172
Jacobs;H71;2;15;94981400;95731895;750495
Jacobs;H71;2;26;121239876;123048197;1808321
Jacobs;H71;2;48;162689295;165169157;2479862
Jacobs;H71;2;15;168799360;169494537;695177
Jacobs;H71;2;51;183793517;187104069;3310552
Jacobs;H71;2;100;193433380;199432096;5998716
Jacobs;H71;2;48;211611196;215251657;3640461
Jacobs;H71;2;52;215844761;220852308;5007547
Jacobs;H71;2;21;229423565;230692645;1269080
Jacobs;H71;2;48;230789586;233589543;2799957
Jacobs;H71;2;16;233988816;234947844;959028
Jacobs;H71;2;56;237261566;240477448;3215882
Jacobs;H71;2;102;241371128;247245173;5874045
Jacobs;H71;10;47;14856146;17388048;2531902
Jacobs;H71;10;19;23068659;24187107;1118448
Jacobs;H71;10;98;25943893;30993691;5049798
Jacobs;H71;10;18;36448017;37738237;1290220
Jacobs;H71;10;20;38727795;40071898;1344103
Jacobs;H71;10;19;46618259;47513384;895125
Jacobs;H71;10;16;52284660;53098812;814152
Jacobs;H71;10;29;64870917;66447438;1576521
Jacobs;H71;10;74;78641554;82225985;3584431
Jacobs;H71;24;18;5384735;6265369;880634
Jacobs;H71;24;29;11127323;13558686;2431363
Jacobs;H71;24;44;17996334;21629724;3633390
Jacobs;H71;24;46;29475441;32495625;3020184
Jacobs;H71;24;50;37808477;41295400;3486923
Jacobs;H72;2;17;26853708;27784609;930901
Jacobs;H72;2;31;34011044;35582012;1570968
Jacobs;H72;2;33;51824098;53415584;1591486
Jacobs;H72;2;16;53991275;54669270;677995
Jacobs;H72;2;40;54687816;56804497;2116681
Jacobs;H72;2;161;66079196;75745623;9666427
Jacobs;H72;2;17;75970858;76836434;865576
Jacobs;H72;2;20;76896048;77817637;921589
Jacobs;H72;2;49;77836297;80421373;2585076
Jacobs;H72;2;15;106521892;107171359;649467
Jacobs;H72;2;28;121590788;123528595;1937807
Jacobs;H72;2;34;133402369;135337045;1934676
Jacobs;H72;2;25;142863809;144379920;1516111
Jacobs;H72;2;15;205305554;206180550;874996
Jacobs;H72;2;18;211611196;212749665;1138469
Jacobs;H72;2;22;213790888;215641893;1851005
Jacobs;H72;2;71;230238912;234609188;4370276
Jacobs;H72;2;59;236285593;239775862;3490269
Jacobs;H72;10;46;12231314;14856146;2624832
Jacobs;H72;10;30;36353216;38751668;2398452
Jacobs;H72;10;21;53666062;54955412;1289350
Jacobs;H72;10;34;62065368;65269159;3203791
Jacobs;H72;10;21;67307992;68575459;1267467
Jacobs;H72;10;36;84620983;86415081;1794098
Jacobs;H72;24;16;6783196;7721963;938767
Jacobs;H72;24;60;33397677;37753985;4356308
Jacobs;H78;2;40;21789864;23727919;1938055
Jacobs;H78;2;17;26853708;27784609;930901
Jacobs;H78;2;243;42535118;56446750;13911632
Jacobs;H78;2;72;67387676;71671999;4284323
Jacobs;H78;2;63;72057797;75799552;3741755
Jacobs;H78;2;15;77688427;78221205;532778
Jacobs;H78;2;26;121239876;123048197;1808321
Jacobs;H78;2;52;149539226;152437856;2898630
Jacobs;H78;2;33;155650761;157367793;1717032
Jacobs;H78;2;21;163790869;164745318;954449
Jacobs;H78;2;231;165226892;178922457;13695565
Jacobs;H78;2;32;179799000;181909538;2110538
Jacobs;H78;2;101;187916592;193374050;5457458
Jacobs;H78;2;48;211611196;215251657;3640461
Jacobs;H78;2;35;215844761;219694019;3849258
Jacobs;H78;2;128;226477839;233589543;7111704
Jacobs;H78;2;59;236285593;239775862;3490269
Jacobs;H78;10;20;2277631;3333520;1055889
Jacobs;H78;10;38;5810305;8904686;3094381
Jacobs;H78;10;145;23213276;30849548;7636272
Jacobs;H78;10;22;37182784;39457465;2274681
Jacobs;H78;10;19;40105937;40971187;865250
Jacobs;H78;10;34;46618259;48243886;1625627
Jacobs;H78;10;41;53666062;56430010;2763948
Jacobs;H78;10;18;56914955;57868492;953537
Jacobs;H78;10;29;64870917;66447438;1576521
Jacobs;H78;10;74;78641554;82225985;3584431
Jacobs;H78;24;15;11127323;12335936;1208613
Jacobs;H78;24;18;16041579;17438055;1396476
Jacobs;H78;24;96;31943864;38615161;6671297
Jacobs;H78;24;17;40336394;42027686;1691292
