group;id;chrom;nSNP;from;to;lengthBps
CIL;Chill_3;1;26;53619301;53653911;34610
CIL;Chill_3;1;51;54371655;54536925;165270
CIL;Chill_3;1;36;54719800;54834649;114849
CIL;Chill_3;1;25;55194650;55281296;86646
CIL;Chill_12;1;26;53619301;53653911;34610
CIL;Chill_12;1;51;54371655;54536925;165270
CIL;Chill_12;1;36;54719800;54834649;114849
CIL;Chill_12;1;25;55194650;55281296;86646
CIL;Chill_12;1;24;61821249;61900596;79347
CIL;Chill_14;1;26;53619301;53653911;34610
CIL;Chill_14;1;51;54371655;54536925;165270
CIL;Chill_14;1;36;54719800;54834649;114849
CIL;Chill_14;1;25;55194650;55281296;86646
CIL;Chill_14;1;24;61821249;61900596;79347
